,PreventativeMeasures: Avoiding public places,PreventativeMeasures: Avoiding public transport,PreventativeMeasures: Increasing hygiene,PreventativeMeasures: Other,PreventativeMeasures: Working from home,CommercialTrust: Banks,CommercialTrust: Brands,CommercialTrust: Other,CommercialTrust: Retailers,CommercialTrust: Telecommuncations,InitiativeTaken: Limited store traffic,InitiativeTaken: None,InitiativeTaken: Sectioned intercepts,InitiativeTaken: Staff in protective gear,Groups: Brands,Groups: Governments,Groups: NGOs,Groups: Private Sector,Groups: Retailers,InformationSources: Friends/family,InformationSources: Government messages,InformationSources: Newspapers,InformationSources: Other,InformationSources: Radio,InformationSources: Social Media,InformationSources: TV,Country_Benin,Country_Democratic Republic of the Congo,Country_Ghana,Country_Ivory Coast (Cote D'Ivoire),Country_Kenya,Country_Mozambique,Country_Nigeria,Country_Rwanda,Country_South Africa,Country_Zambia,Gender_Female,Gender_Male,Age Group_15-25,Age Group_26-35,Age Group_36+,SEC_A,SEC_B,SEC_C,SEC_C1,SEC_C2,SEC_D,SEC_E,Age_10 - 29,Age_20 - 29,Age_30 - 39,Age_40 - 49,Age_50 - 59,Age_60 - 69,Age_70 - 79,Age_80 - 90,BirthYear_1924 - 1934,BirthYear_1934 - 1944,BirthYear_1944 - 1954,BirthYear_1954 - 1964,BirthYear_1964 - 1974,BirthYear_1974 - 1984,BirthYear_1984 - 1994,BirthYear_1995 and above,BirthYear_NaN,Awareness_Yes,Urban/Rural_Rural area,Urban/Rural_Urban area,Concerns_Contracting the disease,Concerns_Economic impact,Concerns_Global infections,Concerns_Local infections,Concerns_Other,Concerns_Travel restrictions,RiskAwareness_No,RiskAwareness_Yes,Tested_No,Tested_Not sure,Tested_Yes - tested negative,Tested_Yes - tested positive,VirusPrevention_No,VirusPrevention_Yes,HandWashing_0 times,HandWashing_1-2 times,HandWashing_3-5 times,HandWashing_More than 5 times,SocialDistancing_No,SocialDistancing_Yes,HealthBehavior_Go to doctor,HealthBehavior_Go to hospital,HealthBehavior_Not sure,HealthBehavior_Stay home,MarketOperability_All are closed,MarketOperability_All are open,MarketOperability_Most are closed,MarketOperability_Most are open,MarketOperability_Some are open,FoodLocations_No,FoodLocations_Yes,FoodShopping_Less often than usual,FoodShopping_More often than usual,FoodShopping_Same as usual [no change],FoodAmount_Bigger packsize than usual,FoodAmount_Same as usual,FoodAmount_Smaller packsize than usual,Foodworry_No,Foodworry_Yes,NonEssentialItems_Decreased,NonEssentialItems_Increased,NonEssentialItems_No change,SocialMedia_Friends/family,SocialMedia_Governments,SocialMedia_Health organizations,SocialMedia_Media outlets,SocialMedia_Other,MediaConsumption_Consuming less,MediaConsumption_Consuming more,MediaConsumption_No change
0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
1,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True,True,True,False,True,False,False,False,True,True,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
2,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
3,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,False,True,True,False,True,True,True,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
4,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
5,True,True,True,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,True,False,False,False,False,True,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
6,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
7,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
8,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,True,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
9,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
